#Parameters = {R=2398; a=150; b=1199; c=300000000000; f=1000000000; lwg=600; t=75; tt=30; wl=300}
#"Y / mm"	"e-field (f=1.6) (1)_Z (Y)_1"
#--------------------------------------
-1074.5000000000	-114.12647776031
-1069.1542288557	-107.65616690160
-1063.8084577114	-101.29130651870
-1058.4626865672	-95.065802489011
-1053.1169154229	-89.001068615758
-1047.7711442786	-82.884260598238
-1042.4253731343	-76.654680608769
-1037.0796019900	-70.546715536081
-1031.7338308458	-64.572951651221
-1026.3880597015	-58.698877857454
-1021.0422885572	-52.991195201197
-1015.6965174129	-47.175443724502
-1010.3507462687	-41.254244904500
-1005.0049751244	-35.441941207248
-999.65920398010	-29.549552075955
-994.31343283582	-23.794153392741
-988.96766169154	-18.422730700783
-983.62189054726	-13.126483770402
-978.27611940299	-8.0105731183221
-972.93034825871	-3.0515946832139
-967.58457711443	1.7963245900236
-962.23880597015	6.5753862581806
-956.89303482587	11.498948009123
-951.54726368159	17.119780449779
-946.20149253731	22.610757732523
-940.85572139303	28.066893487712
-935.50995024876	34.066775500926
-930.16417910448	39.946079976801
-924.81840796020	45.056461865446
-919.47263681592	49.891811328364
-914.12686567164	54.617942925073
-908.78109452736	59.262038701382
-903.43532338308	63.847509463058
-898.08955223881	68.393668359815
-892.74378109453	72.993244613574
-887.39800995025	77.729886236993
-882.05223880597	82.511073011211
-876.70646766169	87.202357027284
-871.36069651741	91.953781584300
-866.01492537313	96.440065048596
-860.66915422886	100.67704646601
-855.32338308458	104.62388855188
-849.97761194030	108.29159254553
-844.63184079602	111.90895224643
-839.28606965174	115.49630970065
-833.94029850746	119.07126599012
-828.59452736318	122.64866008748
-823.24875621891	126.24048353200
-817.90298507463	130.41608819386
-812.55721393035	135.13465949483
-807.21144278607	139.82021248883
-801.86567164179	144.04951025134
-796.51990049751	147.76595684407
-791.17412935323	151.50040028404
-785.82835820896	155.32471986873
-780.48258706468	159.63343582472
-775.13681592040	163.79999503670
-769.79104477612	167.69551719726
-764.44527363184	171.34308544463
-759.09950248756	174.79871963340
-753.75373134328	178.05601591377
-748.40796019900	-178.40823255513
-743.06218905473	-174.98799628003
-737.71641791045	-171.68720657011
-732.37064676617	-168.51254393654
-727.02487562189	-165.42389090799
-721.67910447761	-162.01595139115
-716.33333333333	-158.32761879739
-710.98756218905	-154.71840260080
-705.64179104478	-151.24756679234
-700.29601990050	-147.90406338042
-694.95024875622	-144.69707404577
-689.60447761194	-141.68524928159
-684.25870646766	-138.74966958142
-678.91293532338	-135.89193630444
-673.56716417910	-133.11310112434
-668.22139303483	-130.41387023170
-662.87562189055	-127.66248463626
-657.52985074627	-124.54069099097
